 ,snm_1,snm_2,snm_3,snm_4,snm_5,snm_6,snm_7
RF02913#URS0000D66AA1_12908/1-115#subopt0,  7.16429,-0.581412, -2.54623,  -1.4575,-0.679699, -1.85161,-0.817495
RF02913#URS0000D66AA1_12908/1-115#subopt1,  6.49099, 0.237286, -2.08052, -1.64191,-0.735329, -1.70136, -1.64492
RF02913#URS0000D66AA1_12908/1-115#subopt2,   6.9555, -0.22536, -1.84181, -1.59985,-0.298794, -1.80582,-0.604477
RF02913#HF991811.1/50598-50499#subopt0,  5.20582, 0.755494, -2.62435, 0.835202, -1.79669,-0.698981, -1.80975
RF02913#HF991811.1/50598-50499#subopt1,  5.92834, 0.294295,  -2.5344,-0.192135,-0.983198,-0.940527, -1.35047
RF02913#HF991811.1/50598-50499#subopt2,  5.60108, 0.344732, -2.94814,  0.91973, -1.93498,-0.296115, -1.85132
RF02913#URS0000D6CFA0_12908/1-100#subopt0,  5.76311,-0.542373, 0.114569,  2.09733,  -1.1978, -1.47182,-0.823858
RF02913#URS0000D6CFA0_12908/1-100#subopt1,  5.20581, 0.755493, -2.62435,   0.8352, -1.79669,-0.698982, -1.80975
RF02913#URS0000D6CFA0_12908/1-100#subopt2,  5.92834, 0.294293,  -2.5344,-0.192135,-0.983197,-0.940527, -1.35047
RF02914#URS0000D68A3E_12908/1-36#subopt0,  2.67406,  2.05262,-0.341639, 0.156267,-0.687129, -0.39536,   0.5987
RF02914#URS0000D68A3E_12908/1-36#subopt1,  1.36904, 0.784703,  0.10383, 0.434522, 0.698949,-0.068453,-0.347033
RF02914#URS0000D676FA_12908/1-35#subopt0,  1.36046, 0.755985,-0.171155,  0.11051, 0.141092,-0.717468,-0.327052
RF02914#URS0000D676FA_12908/1-35#subopt1,  2.55765,  0.14742,-0.642694, 0.505433, 0.104343, -1.33668,-0.284553
RF02914#URS0000D676FA_12908/1-35#subopt2,  2.46594, 0.013624,-0.947606, 0.749318, 0.422642,-0.861853,-0.156832
RF02914#URS0000D67F50_12908/1-35#subopt0,  1.36046, 0.755984,-0.171155, 0.110509, 0.141092,-0.717467,-0.327052
RF02914#URS0000D67F50_12908/1-35#subopt1,  2.60624,0.0418703,-0.802047, 0.597031, 0.214612,-0.916836,-0.105724
RF02914#URS0000D67F50_12908/1-35#subopt2,  2.55765,  0.14742,-0.642694, 0.505434, 0.104343, -1.33668,-0.284552
RF02924#URS0000D691F7_12908/1-83#subopt0,  3.39516,  1.75125,  1.48972,  1.49858, 0.508943,-0.315971,0.0918502
RF02924#URS0000D691F7_12908/1-83#subopt1,  4.08195,  1.50797,  1.87241, 0.313701, 0.832004,0.0514753, 0.379236
RF02924#URS0000D691F7_12908/1-83#subopt2,  3.37512,   1.7927,  1.58058,  1.60867, 0.367362,-0.465848, 0.359437
RF02924#LBBT01000108.1/25002-25086#subopt0,   4.37361,  0.617648,   1.30456,   2.06013,  0.049875,  -0.34248,-0.0526499
RF02924#LBBT01000108.1/25002-25086#subopt1, 4.57209, 1.34424,0.377912,0.582119,0.715557,0.166732,0.359383
RF02924#LBBT01000108.1/25002-25086#subopt2,    3.9882,   1.77996,-0.0811472,   1.60148, 0.0929047, -0.343849,  0.429172
RF02924#URS0000D6722E_997827/1-84#subopt0,   3.3076,  1.69737,  1.64355,  1.71661,0.0415431,-0.433532,  1.13756
RF02924#URS0000D6722E_997827/1-84#subopt1,  4.14822,  1.50412,  1.93771,0.0476444,  0.36972,-0.123586, 0.873745
RF02924#URS0000D6722E_997827/1-84#subopt2,   3.44139,   1.78884,   1.64588,   1.34262,-0.0949245, -0.640907,  0.853945
RF03064#URS0000D6985E_12908/1-73#subopt0,  4.58373,-0.831339,  0.15305,-0.572679,  2.02449,  -1.8728,  1.00174
RF03064#URS0000D6985E_12908/1-73#subopt1,  5.16569, -1.44561, -0.48161,-0.423178,  1.81166, -1.42307, 0.879701
RF03064#URS0000D6985E_12908/1-73#subopt2, 5.09886,-1.12884,0.185575,-1.20941, 2.18897,-1.95356, 1.17783
RF03064#URS0000D69A75_12908/1-73#subopt0,  4.58373,-0.831339,  0.15305,-0.572679,  2.02449,  -1.8728,  1.00174
RF03064#URS0000D69A75_12908/1-73#subopt1,  5.16569, -1.44561, -0.48161,-0.423179,  1.81166, -1.42307, 0.879701
RF03064#URS0000D69A75_12908/1-73#subopt2,  4.58588,-0.859205, 0.325998,-0.243787,  2.16115, -1.29252, 0.926213
RF03064#URS0000D6BAF7_515619/1-73#subopt0,  4.58373,-0.831338, 0.153051, -0.57268,  2.02449,  -1.8728,  1.00174
RF03064#URS0000D6BAF7_515619/1-73#subopt1,  5.16569, -1.44561, -0.48161,-0.423178,  1.81166, -1.42307, 0.879701
RF03064#URS0000D6BAF7_515619/1-73#subopt2,   4.5169,-0.870164, 0.119303,-0.744781,  1.93195, -1.52964, 0.479753
RF02440#GG695971.1/126178-126123#subopt0,  3.13584,  1.42253,  1.57766,  1.02275,-0.610508, -1.76933, 0.213114
RF02440#GG695971.1/126178-126123#subopt1,  3.16367,  1.50195,  1.48697,  0.86955,-0.537244, -1.68642,0.0993322
RF02440#GG695971.1/126178-126123#subopt2,   3.0225,  1.41584,  1.46354,   1.1107,-0.421613, -1.47035, 0.277379
RF02440#LFZW01000001.1/2096884-2096831#subopt0,  3.16243,  1.52017,  1.46718, 0.875049,-0.553253, -1.76822, 0.114657
RF02440#LFZW01000001.1/2096884-2096831#subopt1,  3.15053,  1.33856,  1.75226,  1.18736,-0.495713, -1.78037, 0.542491
RF02440#LFZW01000001.1/2096884-2096831#subopt2,  3.04909,  1.51348,  1.35307, 0.962996,-0.364361, -1.46923, 0.178925
RF02440#AJLR01000146.1/149633-149688#subopt0,  3.14562,  1.65232,  1.38812, 0.956726,-0.546408, -1.44519, 0.148315
RF02440#AJLR01000146.1/149633-149688#subopt1,  3.13584,  1.42253,  1.57765,  1.02275,-0.610508, -1.76933, 0.213114
RF02440#AJLR01000146.1/149633-149688#subopt2,  3.16367,  1.50195,  1.48697,  0.86955,-0.537243, -1.68642,0.0993322
RF01695#CP001068.1/10238-10328#subopt0,   3.83094,  0.743993,   1.53956,  -1.13683,-0.0929104, -0.460629,  0.566235
RF01695#CP001068.1/10238-10328#subopt1,  3.79423, 0.677078,   1.4136, -1.03782, 0.243738,0.0663503,   0.8435
RF01695#CP001068.1/10238-10328#subopt2,  3.60733, 0.567102,  1.28936,  1.63022,-0.359415,-0.603561, 0.717504
RF01695#CT573326.1/1493171-1493081#subopt0,   4.10623,  0.727282, 0.0165314,   1.15333,-0.0743955,   0.15287, -0.904808
RF01695#CT573326.1/1493171-1493081#subopt1,   3.94717,  0.973477,-0.0906857,   1.63661,  0.844979,   0.69004,  -1.80836
RF01695#CT573326.1/1493171-1493081#subopt2,  4.05832, 0.818848, 0.207705,  1.63257,  0.31499, 0.650032,-0.832899
RF01695#CP001798.1/974535-974621#subopt0,  4.47789, 0.209583,  1.40194, 0.571046,0.0764231,-0.186939, 0.157258
RF01695#CP001798.1/974535-974621#subopt1,  4.19109, 0.339504, 0.941255, 0.448916, 0.801038,  0.16238,-0.344611
RF01695#CP001798.1/974535-974621#subopt2,  4.35883,-0.183828,0.0376583,  1.71709,0.0802355,-0.256675, 0.505993
RF03161#URS0001A233B4_12908/1-63#subopt0,   2.97378,   1.44429,   1.17019,  0.788882,0.00715439,  -0.70653,  -1.26264
RF03161#URS0001A233B4_12908/1-63#subopt1,  2.94878,  1.53015,  1.10867, 0.922225,  0.25211,-0.954354, -1.59822
RF03161#URS0001A233B4_12908/1-63#subopt2,   3.7225,  1.23734,  1.40722,-0.483844, 0.587058,-0.884499, -1.69848
