 ,snm_1,snm_2,snm_3,snm_4,snm_5,snm_6,snm_7,snm_8,snm_9,snm_10,snm_11,snm_12,snm_13,snm_14,snm_15,snm_16,snm_17,snm_18
RF02913#URS0000D66AA1_12908/1-115#subopt0,  7.13821, -0.37415,  -2.0772,  1.69283,-0.925183,   1.7046,  0.39963, -1.02943, -0.49475,  1.08538,-0.688972, 0.372776, 0.182558, -0.47355,-0.274744,  1.96656, 0.877646, 0.542947
RF02913#URS0000D66AA1_12908/1-115#subopt1,  6.45967, 0.255424, -1.62408,  1.85613,-0.903403,  1.56142,  1.42075,-0.959132,0.0425081,  1.03811,-0.454037,-0.319213,-0.584484, -1.21958, 0.336383,  1.79847,  1.25222,-0.225041
RF02913#URS0000D66AA1_12908/1-115#subopt2,  6.90927,-0.102659, -1.34434,  1.96511,-0.599116,  1.62214, 0.876609, 0.104517,-0.573947,  1.64443,0.0152466, 0.132361,0.0798126,-0.482736,-0.177204,  2.62135,  1.61959,-0.141144
RF02913#URS0000D66AA1_12908/1-115#subopt3,    6.89505,-0.00601764,   -1.42655,    2.34642,  -0.761765,    1.79015,   0.822249,   -1.03767,  -0.334742,    1.07792,  -0.449856,   0.128512,  -0.134607,   -1.06901,  -0.116425,    2.18028,    1.27258,    0.13917
RF02913#URS0000D66AA1_12908/1-115#subopt4,   7.13988, -0.207522,  -1.06325,   1.98342, -0.205653,   1.45209,  0.358636, -0.527291, -0.723646,  0.558667, -0.398957, -0.147007,  0.566975,  -1.03535,  0.295469,   2.13939,   1.18487,-0.0901379
RF02913#HF991811.1/50598-50499#subopt0,   5.20111,  0.860002,  -2.62251,  -0.66945,  -1.07668,  0.646043,   1.92107,  -0.72428, -0.508218,   1.47939, -0.496959,   0.25753, -0.346525,  0.335421,  0.229692,   1.58651,   0.69737,-0.0645632
RF02913#HF991811.1/50598-50499#subopt1,    5.9089,  0.415359,  -2.26664,   0.61776, -0.743339,  0.760995,   1.38626, -0.411685, -0.414977,   1.54348,-0.0819195, -0.331567, -0.993413,-0.0380802,  0.126058,    1.9411,   1.05249, -0.280343
RF02913#HF991811.1/50598-50499#subopt2,  5.62546, 0.428045, -3.10339,-0.811705, -1.20556,  0.29225,  2.11129,-0.565605,-0.176621,  1.26715,-0.397005, 0.302236,-0.696612, 0.496752, 0.636928,  1.30097,  1.00567,   0.1605
RF02913#HF991811.1/50598-50499#subopt3,    6.32924,-0.00457576,   -2.82366,   0.461631,  -0.842302,   0.559459,    1.40538,  -0.279192,  -0.164586,    1.36899, -0.0914036,  -0.238137,   -1.13704,   0.239255,   0.472705,    1.67113,    1.18898,  -0.132833
RF02913#HF991811.1/50598-50499#subopt4,  6.05347, 0.338871, -2.29109,  1.02121,-0.676094, 0.949424,  1.83686,-0.317209,-0.234035,  1.00474, -1.05546,-0.516575,-0.220652,-0.591619,-0.595727,    2.144,  1.52587,-0.619362
RF02913#URS0000D6CFA0_12908/1-100#subopt0,   5.7726,-0.534934,-0.404653, -2.22153, 0.355082,  1.72111,  1.60701,  0.41653,-0.465682, 0.791292,-0.893635,  1.14143,  0.63597, 0.620978,-0.536503, 0.552152,  1.10291, 0.205609
RF02913#URS0000D6CFA0_12908/1-100#subopt1,   5.20111,  0.860001,  -2.62252, -0.669448,  -1.07668,  0.646043,   1.92106,  -0.72428, -0.508218,   1.47939, -0.496959,  0.257529, -0.346525,   0.33542,  0.229692,   1.58651,  0.697371,-0.0645641
RF02913#URS0000D6CFA0_12908/1-100#subopt2,    5.9089,  0.415357,  -2.26664,  0.617762, -0.743339,  0.760993,   1.38626, -0.411686, -0.414976,   1.54349,-0.0819198, -0.331566, -0.993413,-0.0380802,  0.126058,    1.9411,   1.05248, -0.280343
RF02913#URS0000D6CFA0_12908/1-100#subopt3,  5.62546, 0.428046, -3.10339,-0.811706, -1.20556, 0.292251,  2.11129,-0.565604, -0.17662,  1.26715,-0.397003, 0.302235,-0.696612, 0.496752, 0.636929,  1.30097,  1.00567,   0.1605
RF02913#URS0000D6CFA0_12908/1-100#subopt4,  5.85933, 0.906974, -0.32971, -0.90637,-0.323576, 0.884503, 0.270215, 0.682039,-0.543331, 0.615463,0.0605715,-0.363685,  1.05205,   0.9356,-0.274041, 0.497175,  1.49792,-0.226311
RF02913#URS0000D65DF1_12908/1-80#subopt0,  4.48528,  1.47581,-0.877979, 0.695566,-0.560947, 0.737717,  1.44335, -1.12583, -0.16444,  1.43981,0.0631907, 0.408911,-0.829053,-0.703304, 0.137533,  1.30435,   1.0655, -0.39505
RF02913#URS0000D65DF1_12908/1-80#subopt1,   5.22982,  0.901162,   -1.4619,  0.393298,  -0.58028,  0.997975,   0.71031,  -1.38402, -0.194791,   1.13756,  0.170419, -0.139927,  -1.28432, -0.947562,  0.398954,   1.33542,   1.22601,-0.0984166
